date,Gb(i),Gd(i),H_sun,T2m,WS10m,Wdir,Humidity,Pressure
20/4/2018,6101.96,1220.42,35.356923076923074,19.048461538461538,2.0315384615384615,129.23076923076923,45.92307692307692,1022.623076923077
21/4/2018,6284.4,1207.82,35.62230769230769,19.36769230769231,2.2592307692307694,280.0,47.15384615384615,1019.2307692307693
22/4/2018,6472.5,1190.08,35.88461538461539,18.27,2.206923076923077,264.61538461538464,53.61538461538461,1018.2307692307693
23/4/2018,4261.44,2246.81,36.144615384615385,17.36769230769231,2.7576923076923077,144.6153846153846,59.0,1018.8153846153847
24/4/2018,6428.29,1201.75,36.401538461538465,19.947692307692307,3.5546153846153845,173.84615384615384,61.23076923076923,1017.5923076923077
25/4/2018,6015.650000000001,1366.24,36.65461538461538,18.627692307692307,3.016923076923077,315.38461538461536,68.46153846153847,1016.6538461538462
26/4/2018,6406.83,1245.93,36.90461538461538,19.313076923076924,8.843846153846155,140.0,42.07692307692308,1013.2076923076924
27/4/2018,5080.12,1755.68,34.495714285714286,17.68,3.507857142857143,105.0,65.71428571428571,1012.5285714285714
28/4/2018,5307.48,1617.29,34.737857142857145,16.965,4.512142857142857,102.85714285714286,62.285714285714285,1011.5
29/4/2018,1935.1100000000001,1841.07,34.972142857142856,16.449285714285715,9.142857142857142,194.28571428571428,62.42857142857143,1007.4857142857143
30/4/2018,5079.51,1731.5,35.205714285714286,14.937142857142858,3.807142857142857,140.0,55.714285714285715,1012.5714285714286
1/5/2018,4945.21,1787.79,35.43642857142857,14.49,2.1207142857142856,248.57142857142858,68.92857142857143,1011.6071428571429
2/5/2018,5320.41,1646.12,35.66285714285714,16.10214285714286,5.447857142857143,207.14285714285714,50.57142857142857,1007.5785714285714
3/5/2018,4467.77,1834.72,35.88428571428572,17.804285714285715,7.369285714285715,215.71428571428572,53.357142857142854,1004.6285714285714
4/5/2018,3147.64,2069.91,36.104285714285716,18.085,4.95,180.71428571428572,62.92857142857143,1009.8071428571428
5/5/2018,3560.7999999999997,1810.25,36.318571428571424,18.68642857142857,2.531428571428571,247.14285714285714,60.0,1015.2642857142857
6/5/2018,3953.6,1916.04,36.53214285714286,19.18642857142857,2.6992857142857143,69.28571428571429,63.785714285714285,1016.2785714285714
7/5/2018,4084.26,2041.76,34.30133333333333,18.274,2.584,304.6666666666667,69.0,1014.1800000000001
8/5/2018,4397.03,1829.12,34.50533333333333,18.662,2.9433333333333334,208.0,64.53333333333333,1008.6800000000001
9/5/2018,3519.0,1786.59,34.706,18.773333333333333,3.5439999999999996,301.3333333333333,62.733333333333334,1006.2133333333334
10/5/2018,5034.2699999999995,1868.3999999999999,34.902,19.240666666666666,7.875333333333333,208.66666666666666,55.53333333333333,1012.14
11/5/2018,6104.45,1353.52,35.096,17.282,4.005333333333334,90.66666666666667,59.0,1016.2333333333333
